STT,Tên bảng,Ý nghĩa bảng
214,TVRP_TRIGGER_SLA_BREACH,Vi phạm SLA trigger - ghi nhận vi phạm SLA của một lần thực thi trigger
215,TVRP_JOB_ACTION,Hành động công việc động - bước hành động riêng lẻ trong định nghĩa công việc định kỳ
216,TVRP_JOB_DEFINITION,Định nghĩa công việc động - công việc định kỳ dựa trên Groovy với biểu thức cron
217,TVRP_DATA_POLICIES,Chính sách dữ liệu ABAC - chính sách kiểm soát truy cập dựa trên thuộc tính với biểu thức điều kiện
218,TVRP_DATA_POLICIES_HISTORY,Lịch sử phiên bản chính sách ABAC - snapshot bất biến của chính sách tại mỗi phiên bản
219,TVRP_OBS_PROBLEM,Sự cố quan sát - sự cố hệ thống/dịch vụ bị phát hiện hoặc suy giảm hiệu suất
220,TVRP_OBS_PROBLEM_EVENT,Sự kiện sự cố - chuyển đổi trạng thái và cập nhật cho một sự cố
221,TVRP_OBS_SLO,Mục tiêu mức dịch vụ (SLO) - định nghĩa SLO và trạng thái tuân thủ hiện tại
222,TVRP_DRAFT,"Bản nháp nội dung - bản nháp tự lưu của trang, fragment hoặc master page trước khi xuất bản"
223,TVRP_GA4_CONFIGS,Cấu hình Google Analytics 4 - thông tin đăng nhập GA4 được mã hóa theo từng site
