silver_entity,table_type,technical_table_type,filter,mapping_type,description,source_table
Inspection Subject Other Party,Fundamental,SCD4A,,regular,Đối tượng thanh tra khác (cá nhân hoặc tổ chức) không thuộc danh mục CK/QLQ/ĐC. Phân biệt qua party_type_code.,THANHTRA.DM_DOI_TUONG_KHAC
Investment Fund,Fundamental,SCD4A,,regular,Quỹ đầu tư chứng khoán — pháp nhân độc lập do công ty quản lý quỹ thành lập và quản lý. Lưu thông tin pháp lý và vốn của quỹ.,FMS.FUNDS
Investment Fund Investor Membership,Fundamental,SCD4A,,regular,Quan hệ thành viên của nhà đầu tư trong một quỹ đầu tư. Lưu tỷ lệ vốn góp và trạng thái tham gia.,FMS.MBFUND
Investment Fund Representative Board Member,Fundamental,SCD4A,,regular,Thành viên ban đại diện hoặc hội đồng quản trị của quỹ đầu tư. Cá nhân đảm nhận vai trò quản trị trong cơ cấu tổ chức quỹ.,FMS.REPRESENT
Involved Party Alternative Identification,Fundamental,SCD4A,,shared_entity,Lưu trữ các giấy tờ định danh thay thế của Involved Party (CMND/CCCD/Hộ chiếu/Giấy phép kinh doanh/Chứng chỉ hành nghề). Mỗi dòng = 1 loại giấy tờ từ 1 nguồn.,"NHNCK.PROFESSIONALS, NHNCK.ORGANIZATIONS, DCST.THONG_TIN_DK_THUE, DCST.TTKDT_NGUOI_DAI_DIEN, FMS.SECURITIES, FMS.FORBRCH, FMS.INVES, FMS.FUNDS, FMS.TLPROFILES, FMS.BRANCHES, SCMS.CT_KIEM_TOAN, SCMS.CTCK_NGUOI_HANH_NGHE_CK, SCMS.CTCK_NHAN_SU_CAO_CAP, SCMS.CTCK_CO_DONG, SCMS.CT_KIEM_TOAN_VIEN, SCMS.CTCK_CD_DAI_DIEN, SCMS.CTCK_CD_MOI_QUAN_HE, FIMS.BANKMONI, FIMS.BRANCHS, FIMS.FUNDCOMPANY, FIMS.SECURITIESCOMPANY, FIMS.INVESTOR, FIMS.TLPROFILES, FIMS.INFODISCREPRES, SCMS.CTCK_THONG_TIN"
Market Surveillance Suspicious Account,Fundamental,SCD4A,,regular,Tai khoan nghi van duoc xac dinh trong vu viec giam sat. FK Market Surveillance Case + Investor Trading Account.,GSGD.SUSPICIOUS_ACCOUNT
Market Surveillance Suspicious Account Group,Fundamental,SCD4A,,regular,Nhom tai khoan nghi van trong pham vi 1 vu viec giam sat cu the. FK Market Surveillance Case.,GSGD.SUSPICIOUS_ACCOUNT_GROUP
Member Rating,Fundamental,SCD4A,,regular,Kết quả xếp loại của một công ty quản lý quỹ trong một kỳ đánh giá. Ghi nhận điểm tổng hợp và hạng xếp loại.,FMS.RANK
Public Company,Fundamental,SCD4A,,regular,Công ty đại chúng được UBCKNN quản lý. Lưu thông tin pháp lý và trạng thái hoạt động.,THANHTRA.DM_CONG_TY_DC
Registered Taxpayer,Fundamental,SCD4A,,regular,Doanh nghiệp/hộ kinh doanh đã đăng ký thuế với cơ quan thuế. Lưu thông tin pháp lý và trạng thái hoạt động.,DCST.THONG_TIN_DK_THUE
Regulatory Authority Organization Unit,Fundamental,SCD4A,,regular,Đơn vị/phòng ban thuộc UBCKNN. Cấu trúc phân cấp gộp Units và Departments.,"NHNCK.UNITS, NHNCK.DEPARTMENTS"
Securities Company,Fundamental,SCD4A,,regular,Cong ty chung khoan - thanh vien thi truong trong he thong FIMS. Quan ly tai khoan va danh muc NĐT nuoc ngoai.,"FIMS.SECURITIESCOMPANY, SCMS.CTCK_THONG_TIN, THANHTRA.DM_CONG_TY_CK"
Securities Company Organization Unit,Fundamental,SCD4A,,regular,"Don vi truc thuoc CTCK: chi nhanh, van phong dai dien, phong giao dich. Cau truc self-join qua parent_org_unit_id.","SCMS.CTCK_CHI_NHANH, SCMS.CTCK_VP_DAI_DIEN, SCMS.CTCK_PHONG_GIAO_DICH"
Securities Company Senior Personnel,Fundamental,SCD4A,,regular,"Nhan su cao cap cua CTCK (Chu tich HDQT, Tong Giam doc, Ke toan truong...). Ghi nhan chuc vu va thoi gian dam nhiem.",SCMS.CTCK_NHAN_SU_CAO_CAP
Securities Company Shareholder,Fundamental,SCD4A,,regular,Co dong cua CTCK - ca nhan hoac to chuc. Ghi nhan ty le so huu va so luong co phan.,SCMS.CTCK_CO_DONG
Securities Company Shareholder Related Party,Fundamental,SCD4A,,regular,Nguoi co quan he gia dinh hoac cong tac voi co dong cua CTCK. Ghi nhan loai quan he va noi lam viec.,SCMS.CTCK_CD_MOI_QUAN_HE
Securities Company Shareholder Representative,Fundamental,SCD4A,,regular,Nguoi dai dien duoc uy quyen boi co dong cua CTCK. Ghi nhan chuc vu va so luong co phan dai dien.,SCMS.CTCK_CD_DAI_DIEN
Securities Organization Reference,Fundamental,SCD4A,,regular,Tổ chức tham gia thị trường chứng khoán (CTCK/QLQ/NH) được UBCKNN quản lý. Danh mục tổ chức tham chiếu trong hệ thống NHNCK.,NHNCK.ORGANIZATIONS
Securities Practitioner,Fundamental,SCD4A,,regular,Người hành nghề chứng khoán được UBCKNN cấp phép. Ghi nhận thông tin cá nhân và trạng thái hành nghề. Attribute chi tiết (BirthDate full,"NHNCK.PROFESSIONALS, SCMS.CTCK_NGUOI_HANH_NGHE_CK"
Securities Practitioner Related Party,Fundamental,SCD4A,,regular,Quan hệ thân nhân của người hành nghề chứng khoán. Ghi nhận loại quan hệ và thông tin người liên quan.,NHNCK.PROFESSIONALRELATIONSHIPS
Stock Exchange,Fundamental,SCD4A,,regular,"So giao dich chung khoan - thanh vien thi truong trong he thong FIMS (HNX, HOSE).",FIMS.STOCKEXCHANGE
Taxpayer Representative,Fundamental,SCD4A,,regular,Người đại diện hoặc chủ hộ kinh doanh của người nộp thuế. Ghi nhận tên và chức vụ.,DCST.TTKDT_NGUOI_DAI_DIEN
Geographic Area,Fundamental,SCD4A,,regular,Đơn vị địa lý dùng làm FK tham chiếu: quốc gia/quốc tịch (COUNTRY) và tỉnh/thành phố (PROVINCE). Phân biệt bằng geographic_area_type_code.,"FIMS.NATIONAL, SCMS.DM_TINH_THANH, SCMS.DM_QUOC_TICH"
Involved Party Electronic Address,Fundamental,SCD4A,,shared_entity,Lưu trữ các địa chỉ liên lạc điện tử của Involved Party (điện thoại/fax/email). Mỗi dòng = 1 kênh liên lạc từ 1 nguồn.,"NHNCK.PROFESSIONALS, NHNCK.ORGANIZATIONS, DCST.THONG_TIN_DK_THUE, DCST.TTKDT_NGUOI_DAI_DIEN, FMS.SECURITIES, FMS.FORBRCH, FMS.BANKMONI, FMS.BRANCHES, SCMS.CTCK_THONG_TIN, SCMS.CTCK_CHI_NHANH, SCMS.CTCK_NHAN_SU_CAO_CAP, FIMS.BANKMONI, FIMS.BRANCHS, FIMS.DEPOSITORYCENTER, FIMS.FUNDCOMPANY, FIMS.INFODISCREPRES, FIMS.INVESTOR, FIMS.SECURITIESCOMPANY, FIMS.STOCKEXCHANGE, FIMS.TLPROFILES, SCMS.CT_KIEM_TOAN, SCMS.CTCK_PHONG_GIAO_DICH, SCMS.CTCK_VP_DAI_DIEN, THANHTRA.DM_CAN_BO, THANHTRA.DM_CONG_TY_DC, THANHTRA.DM_CONG_TY_CK, THANHTRA.DM_CONG_TY_QLQ, THANHTRA.DM_DOI_TUONG_KHAC"
Involved Party Postal Address,Fundamental,SCD4A,,shared_entity,Lưu trữ các địa chỉ bưu chính của Involved Party (trụ sở/kinh doanh/thường trú/nơi ở hiện tại). Mỗi dòng = 1 loại địa chỉ từ 1 nguồn.,"NHNCK.PROFESSIONALS, NHNCK.ORGANIZATIONS, DCST.THONG_TIN_DK_THUE, FMS.SECURITIES, FMS.FORBRCH, FMS.BANKMONI, FMS.AGENCIES, FMS.BRANCHES, FMS.AGENCIESBRA, SCMS.CTCK_THONG_TIN, SCMS.CTCK_CHI_NHANH, SCMS.CTCK_NHAN_SU_CAO_CAP, SCMS.CTCK_CO_DONG, FIMS.BANKMONI, FIMS.BRANCHS, FIMS.DEPOSITORYCENTER, FIMS.FUNDCOMPANY, FIMS.INFODISCREPRES, FIMS.INVESTOR, FIMS.SECURITIESCOMPANY, FIMS.STOCKEXCHANGE, FIMS.TLPROFILES, SCMS.CT_KIEM_TOAN, SCMS.CTCK_PHONG_GIAO_DICH, SCMS.CTCK_VP_DAI_DIEN, THANHTRA.DM_CAN_BO, THANHTRA.DM_CONG_TY_DC, THANHTRA.DM_CONG_TY_CK, THANHTRA.DM_CONG_TY_QLQ, THANHTRA.DM_DOI_TUONG_KHAC"
Fund Management Company Share Transfer,Fact Append,Fact Append,,regular,Giao dịch chuyển nhượng cổ phần của công ty quản lý quỹ. Ghi nhận bên chuyển nhượng/nhận nhượng và giá trị giao dịch.,FMS.TRSFERINDER
Investment Fund Certificate Transfer,Fact Append,Fact Append,,regular,Giao dịch mua/bán chứng chỉ quỹ của nhà đầu tư thành viên. Ghi nhận số lượng và giá giao dịch theo từng quỹ.,FMS.TRANSFERMBF
Risk Indicator Value,Fact Append,Fact Append,,regular,Giá trị thực tế của chỉ tiêu rủi ro theo từng kỳ (ngày/tháng/quý/năm). Grain: chỉ tiêu × kỳ. Append-only. FK → Risk Indicator.,QLRR.RISK_INDICATOR_VALUE
Risk Indicator Value Change,Fact Append,Fact Append,,regular,Lịch sử từng lần thay đổi giá trị chỉ tiêu (SYNC tự động / UPDATE thủ công). Grain: 1 lần thay đổi. Append-only. FK → Risk Indicator.,QLRR.RISK_INDICATOR_VALUE_HISTORY
Securities Company Shareholder Transfer,Fact Append,Fact Append,,regular,"Giao dich chuyen nhuong co phan giua hai co dong cua CTCK. Ghi nhan ben chuyen/nhan, so luong va ty le chuyen nhuong.",SCMS.CTCK_CD_CHUYEN_NHUONG
Securities Practitioner License Application Fee,Fact Append,Fact Append,,regular,Phí thực tế phát sinh theo từng hồ sơ đăng ký CCHN. Ghi nhận loại phí và trạng thái thanh toán.,NHNCK.APPLICATIONFEES
Account Investor Group,Fundamental,SCD4A,,regular,Nhom tai khoan nha dau tu do nghiep vu giam sat xac dinh theo tieu chi quan he (Danh tinh / IP / MAC / Tien). Grain: 1 dong = 1 nhom.,GSGD.ACCOUNT_GROUP
Account Investor Group Member,Fundamental,SCD4A,,regular,Quan he thanh vien giua tai khoan nha dau tu va nhom giam sat. Ghi nhan loai quan he va trang thai. FK Account Investor Group + Investor Trading Account.,GSGD.ACCOUNT_GROUP_MEMBER
Risk Indicator,Fundamental,SCD4A,,regular,Danh mục chỉ tiêu tài chính rủi ro — gộp chỉ tiêu hệ thống (risk_indicator) và tự tạo (risk_indicator_custom). Phân biệt bằng indicator_type_code. indicator_category_id nullable (chỉ tiêu tự tạo không có category).,"QLRR.RISK_INDICATOR, QLRR.RISK_INDICATOR_CUSTOM"
Risk Indicator Category,Fundamental,SCD4A,,regular,Nhóm phân loại chỉ tiêu tài chính rủi ro theo bộ (trong nước/quốc tế) và nhóm nghiệp vụ (vĩ mô/tiền tệ/thị trường CK). FK nguồn cho Risk Indicator.,QLRR.RISK_INDICATOR_CATEGORY
Securities Watchlist Group,Fundamental,SCD4A,,regular,Nhom chung khoan do nghiep vu giam sat tao ra (thuong hoac theo nganh). Danh sach ma CK denormalize thanh ARRAY.,GSGD.SECURITIES_GROUP
Classification Value,Classification,SCD1,,cv,Bảng danh mục phân loại dùng chung.,(multiple — see ref_shared_entity_classifications)
