atomic_entity,atomic_table,table_type,technical_table_type,filter,mapping_type,description,ods_table
Risk Report File,rsk_rpt_file,Fundamental,SCD4A,,regular,Metadata file đính kèm báo cáo rủi ro trong đợt upload. Grain: 1 file. FK → Risk Report Upload Batch.,ods_qlrr_risk_report_file
Risk Report Type,rsk_rpt_tp,Fundamental,SCD4A,,regular,Danh mục loại báo cáo rủi ro (Báo cáo nhanh hàng tháng v.v.). Master entity có lifecycle. FK từ Risk Report Upload Batch.,ods_qlrr_risk_report_type
Securities Practitioner License Application,scr_prac_license_ap,Fundamental,SCD4A,,regular,Hồ sơ đăng ký cấp/cấp lại/gia hạn chứng chỉ hành nghề chứng khoán. Ghi nhận đầy đủ thông tin người nộp và kết quả xử lý.,ods_nhnck_applications
Securities Practitioner License Application Document Attachment,scr_prac_license_ap_doc_attch,Fundamental,SCD4A,,regular,Tài liệu đính kèm hồ sơ CCHN. Ghi nhận loại tài liệu và trạng thái thẩm định.,ods_nhnck_applicationdocuments
Securities Practitioner License Application Education Certificate Document,scr_prac_license_ap_ed_ctf_doc,Fundamental,SCD4A,,regular,Văn bằng/chứng chỉ học tập đính kèm hồ sơ CCHN. Ghi nhận loại chuyên môn và file đính kèm kèm trạng thái thẩm định.,ods_nhnck_applicationspecializations
Securities Practitioner License Certificate Document,scr_prac_license_ctf_doc,Fundamental,SCD4A,,regular,Chứng chỉ hành nghề chứng khoán được cấp cho người hành nghề. Ghi nhận loại chứng chỉ và quyết định cấp/thu hồi.,ods_nhnck_certificaterecords
Securities Practitioner License Certificate Group Document,scr_prac_license_ctf_grp_doc,Fundamental,SCD4A,,regular,Nhóm chứng chỉ hành nghề trong một quyết định cấp/thu hồi/hủy tập thể. Liên kết với quyết định hành chính.,ods_nhnck_certificaterecordgroups
Securities Practitioner License Certificate Group Member,scr_prac_license_ctf_grp_mbr,Fundamental,SCD4A,,regular,Quan hệ thành viên giữa chứng chỉ hành nghề và nhóm cấp/thu hồi. Liên kết Certificate ↔ Group ↔ Application.,ods_nhnck_certificaterecordgroupmembers
Securities Practitioner License Decision Document,scr_prac_license_dcsn_doc,Fundamental,SCD4A,,regular,Quyết định hành chính của UBCKNN về cấp/thu hồi/hủy chứng chỉ hành nghề chứng khoán.,ods_nhnck_decisions
Securities Practitioner Organization Employment Report,scr_prac_org_emp_rpt,Fundamental,SCD4A,,regular,Báo cáo của tổ chức về tình trạng tuyển dụng/chấm dứt hợp đồng người hành nghề chứng khoán.,ods_nhnck_organizationreports
Surveillance Case Document Attachment,surveil_case_doc_attch,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ giám sát. FK → Surveillance Enforcement Case.,ods_thanhtra_gs_ho_so_van_ban
Surveillance Enforcement Decision File Attachment,surveil_nfrc_dcsn_file_attch,Fundamental,SCD4A,,regular,File đính kèm văn bản xử lý giám sát. FK → Surveillance Enforcement Decision.,ods_thanhtra_gs_van_ban_xu_ly_file
Tax Debt Enforcement Order,tax_dbt_nfrc_ordr,Fundamental,SCD4A,,regular,Quyết định cưỡng chế nợ thuế. Ghi nhận hình thức cưỡng chế và thông tin tài sản/tài khoản liên quan.,ods_dcst_tct_tt_cuong_che_no
Tax Financial Statement,tax_fnc_stmt,Fundamental,SCD4A,,regular,Tờ khai tài chính điện tử nộp lên cơ quan thuế. Ghi nhận kỳ kê khai và thông tin kiểm toán.,ods_dcst_tct_bao_cao
Tax Financial Statement Item,tax_fnc_stmt_itm,Fundamental,SCD4A,,regular,Chỉ tiêu chi tiết trong tờ khai tài chính. Ghi nhận giá trị số liệu theo từng ô chỉ tiêu trong biểu mẫu.,ods_dcst_tct_bao_cao_chi_tiet
Tax Invoice Enforcement Order,tax_inv_nfrc_ordr,Fundamental,SCD4A,,regular,Quyết định cưỡng chế nợ thuế theo hình thức ngừng sử dụng hóa đơn. Ghi nhận thông tin quyết định và thông báo.,ods_dcst_tct_ttccn_hoa_don
Tax Invoice Enforcement Order Item,tax_inv_nfrc_ordr_itm,Fundamental,SCD4A,,regular,Chi tiết hóa đơn thuộc quyết định cưỡng chế ngừng sử dụng hóa đơn. Ghi nhận số hiệu và loại hóa đơn.,ods_dcst_hoa_don_chi_tiet
Listed Company Corporate Event,list_co_corp_ev,Fact Append,Fact Append,,regular,Sự kiện liên quan đến tổ chức niêm yết trong phạm vi giám sát GSGD. Grain: 1 dòng = 1 sự kiện.,ods_gsgd_company_event
Risk Alert,rsk_alert,Fact Append,Fact Append,,regular,Bản ghi cảnh báo rủi ro phát sinh khi chỉ tiêu vượt ngưỡng cấu hình. Grain: 1 lần kích hoạt. Append-only. FK → Risk Alert Config + Risk Indicator.,ods_qlrr_risk_alert
Risk Alert History,rsk_alert_hist,Fact Append,Fact Append,,regular,Dòng thời gian sự kiện trong vòng đời cảnh báo (phát sinh / xử lý). Grain: 1 sự kiện nghiệp vụ. Append-only. FK → Risk Alert.,ods_qlrr_risk_alert_history
Securities Practitioner Professional Training Class,scr_prac_prof_trn_clss,Fact Append,Fact Append,,regular,Khóa đào tạo chuyên môn nghiệp vụ chứng khoán do UBCKNN tổ chức. Ghi nhận thông tin khóa học và ngày thi.,ods_nhnck_specializationcourses
Audit Firm,audt_firm,Fundamental,SCD4A,,regular,Công ty kiểm toán được UBCKNN chấp thuận. Ghi nhận thông tin pháp lý và trạng thái hoạt động.,"ods_scms_ct_kiem_toan, ods_ids_af_profiles"
Audit Firm Legal Representative,audt_firm_lgl_rprs,Fundamental,SCD4A,,regular,Người đại diện pháp luật của công ty kiểm toán — chức vụ và ngày bổ nhiệm/kết thúc nhiệm kỳ. FK to Audit Firm.,ods_ids_af_legal_representative
Audit Firm Practitioner,audt_firm_prac,Fundamental,SCD4A,,regular,Kiểm toán viên thuộc công ty kiểm toán. Ghi nhận chứng chỉ kiểm toán và trạng thái hành nghề.,ods_scms_ct_kiem_toan_vien
Custodian Bank,cstd_bnk,Fundamental,SCD4A,,regular,Ngân hàng lưu ký giám sát tài sản quỹ đầu tư chứng khoán được UBCKNN chấp thuận. Chịu trách nhiệm lưu giữ và giám sát tài sản của quỹ.,"ods_fms_bankmoni, ods_fims_bankmoni"
Depository Center,depst_cntr,Fundamental,SCD4A,,regular,Trung tâm lưu ký chứng khoán quốc gia - thành viên thị trường trong hệ thống FIMS (VSD).,ods_fims_depositorycenter
Disclosure Representative,dscl_rprs,Fundamental,SCD4A,,regular,Người hoặc tổ chức đại diện thực hiện công bố thông tin trên thị trường chứng khoán.,ods_fims_infodiscrepres
Disclosure Representative Key Person,dscl_rprs_key_psn,Fundamental,SCD4A,,regular,Nhân sự thực hiện công bố thông tin tại các tổ chức thành viên thị trường.,ods_fims_tlprofiles
Discretionary Investment Investor,dscr_ivsm_ivsr,Fundamental,SCD4A,,regular,Nhà đầu tư ủy thác — cá nhân hoặc tổ chức giao tài sản cho công ty quản lý quỹ quản lý theo hợp đồng ủy thác đầu tư.,ods_fms_inves
Foreign Fund Management Organization Unit,frgn_fnd_mgt_ou,Fundamental,SCD4A,,regular,Văn phòng đại diện hoặc chi nhánh của công ty quản lý quỹ nước ngoài tại Việt Nam được UBCKNN chấp thuận hoạt động.,ods_fms_forbrch
Foreign Fund Management Organization Unit Staff,frgn_fnd_mgt_ou_stff,Fundamental,SCD4A,,regular,Nhân sự đảm nhận chức vụ tại văn phòng đại diện/chi nhánh công ty quản lý quỹ nước ngoài. Ghi nhận vai trò và tư cách pháp lý.,ods_fms_stffgbrch
Foreign Investor,frgn_ivsr,Fundamental,SCD4A,,regular,"Danh mục nhà đầu tư đăng ký giao dịch trên thị trường chứng khoán. Bao gồm cá nhân và tổ chức, phân biệt bằng ObjectType.",ods_fims_investor
Foreign Representative Office,frgn_rprs_offc,Fundamental,SCD4A,,regular,"Văn phòng đại diện của công ty chứng khoán nước ngoài tại Việt Nam. Pháp nhân độc lập, không FK đến CTCK trong nước.",ods_scms_ctck_vp_dai_dien_nn
Fund Distribution Agent,fnd_dstr_agnt,Fundamental,SCD4A,,regular,Tổ chức đại lý được ủy quyền phân phối chứng chỉ quỹ đầu tư cho nhà đầu tư.,ods_fms_agencies
Fund Distribution Agent Organization Unit,fnd_dstr_agnt_ou,Fundamental,SCD4A,,regular,Chi nhánh hoặc phòng giao dịch của tổ chức đại lý phân phối quỹ đầu tư.,ods_fms_agenciesbra
Fund Management Company,fnd_mgt_co,Fundamental,SCD4A,,regular,Công ty quản lý quỹ đầu tư chứng khoán trong nước được UBCKNN cấp phép hoạt động. Lưu thông tin pháp lý và hoạt động của công ty.,"ods_fms_securities, ods_fims_fundcompany, ods_thanhtra_dm_cong_ty_qlq"
Fund Management Company Key Person,fnd_mgt_co_key_psn,Fundamental,SCD4A,,regular,Nhân sự chủ chốt của công ty quản lý quỹ (giám đốc/chuyên gia đầu tư/người được ủy quyền). Lưu thông tin cá nhân và chứng chỉ hành nghề.,ods_fms_tlprofiles
Fund Management Company Organization Unit,fnd_mgt_co_ou,Fundamental,SCD4A,,regular,Chi nhánh hoặc văn phòng đại diện của công ty quản lý quỹ trong nước. Có địa chỉ và giấy phép hoạt động riêng.,"ods_fms_branches, ods_fims_branchs"
High Risk Taxpayer Assessment Snapshot,hrsk_taxpayer_ases_snpst,Fact Snapshot,Fact Snapshot,,regular,Đánh giá xếp loại doanh nghiệp rủi ro cao về thuế theo năm. Ghi nhận thông tin tổ chức bị đánh giá rủi ro.,ods_dcst_dn_rui_ro_cao
Inspection Officer,insp_ofcr,Fundamental,SCD4A,,regular,Cán bộ thanh tra viên thuộc UBCKNN. Ghi nhận thông tin cá nhân và trạng thái công tác.,ods_thanhtra_dm_can_bo
Inspection Subject Other Party,insp_sbj_othr_p,Fundamental,SCD4A,,regular,Đối tượng thanh tra khác (cá nhân hoặc tổ chức) không thuộc danh mục CK/QLQ/ĐC. Phân biệt qua party_type_code.,ods_thanhtra_dm_doi_tuong_khac
Investment Fund,ivsm_fnd,Fundamental,SCD4A,,regular,Quỹ đầu tư chứng khoán — pháp nhân độc lập do công ty quản lý quỹ thành lập và quản lý. Lưu thông tin pháp lý và vốn của quỹ.,ods_fms_funds
Investment Fund Investor Membership,ivsm_fnd_ivsr_mbr,Fundamental,SCD4A,,regular,Quan hệ thành viên của nhà đầu tư trong một quỹ đầu tư. Lưu tỷ lệ vốn góp và trạng thái tham gia.,ods_fms_mbfund
Investment Fund Representative Board Member,ivsm_fnd_rprs_board_mbr,Fundamental,SCD4A,,regular,Thành viên ban đại diện hoặc hội đồng quản trị của quỹ đầu tư. Cá nhân đảm nhận vai trò quản trị trong cơ cấu tổ chức quỹ.,ods_fms_represent
Involved Party Alternative Identification,ip_alt_identn,Fundamental,SCD4A,,shared_entity,Lưu trữ các giấy tờ định danh thay thế của Involved Party (CMND/CCCD/Hộ chiếu/Giấy phép kinh doanh/Chứng chỉ hành nghề). Mỗi dòng = 1 loại giấy tờ từ 1 nguồn.,"ods_nhnck_professionals, ods_nhnck_organizations, ods_dcst_thong_tin_dk_thue, ods_dcst_ttkdt_nguoi_dai_dien, ods_fms_securities, ods_fms_forbrch, ods_fms_inves, ods_fms_funds, ods_fms_tlprofiles, ods_fms_branches, ods_scms_ct_kiem_toan, ods_scms_ctck_nguoi_hanh_nghe_ck, ods_scms_ctck_nhan_su_cao_cap, ods_scms_ctck_co_dong, ods_scms_ct_kiem_toan_vien, ods_scms_ctck_cd_dai_dien, ods_scms_ctck_cd_moi_quan_he, ods_fims_bankmoni, ods_fims_branchs, ods_fims_fundcompany, ods_fims_securitiescompany, ods_fims_investor, ods_fims_tlprofiles, ods_fims_infodiscrepres, ods_scms_ctck_thong_tin, ods_ids_af_legal_representative, ods_ids_legal_representative, ods_ids_identity"
Market Surveillance Suspicious Account,mkt_surveil_sspcs_ac,Fundamental,SCD4A,,regular,Tài khoản nghi vấn được xác định trong vụ việc giám sát. FK Market Surveillance Case + Investor Trading Account.,ods_gsgd_suspicious_account
Market Surveillance Suspicious Account Group,mkt_surveil_sspcs_ac_grp,Fundamental,SCD4A,,regular,Nhóm tài khoản nghi vấn trong phạm vi 1 vụ việc giám sát cụ thể. FK Market Surveillance Case.,ods_gsgd_suspicious_account_group
Member Rating,mbr_rtg,Fundamental,SCD4A,,regular,Kết quả xếp loại của một công ty quản lý quỹ trong một kỳ đánh giá. Ghi nhận điểm tổng hợp và hạng xếp loại.,ods_fms_rank
Public Company,pblc_co,Fundamental,SCD4A,,regular,Công ty đại chúng được UBCKNN quản lý. Lưu thông tin pháp lý và trạng thái hoạt động.,"ods_thanhtra_dm_cong_ty_dc, ods_ids_company_profiles, ods_ids_company_detail"
Public Company Legal Representative,pblc_co_lgl_rprs,Fundamental,SCD4A,,regular,Người đại diện pháp luật và người CBTT của công ty đại chúng — representative_role_code phân biệt 2 vai trò. FK to Public Company.,ods_ids_legal_representative
Public Company Related Entity,pblc_co_rel_ent,Relative,SCD2,,regular,Công ty mẹ/con/liên kết của công ty đại chúng — tên/MST/vốn/tỷ lệ sở hữu/thời hạn hiệu lực. FK to Public Company.,ods_ids_company_relationship
Registered Taxpayer,rgst_taxpayer,Fundamental,SCD4A,,regular,Doanh nghiệp/hộ kinh doanh đã đăng ký thuế với cơ quan thuế. Lưu thông tin pháp lý và trạng thái hoạt động.,ods_dcst_thong_tin_dk_thue
Regulatory Authority Organization Unit,reg_ahr_ou,Fundamental,SCD4A,,regular,Đơn vị/phòng ban thuộc UBCKNN. Cấu trúc phân cấp gộp Units và Departments.,"ods_nhnck_units, ods_nhnck_departments"
Securities Company,scr_co,Fundamental,SCD4A,,regular,Công ty chứng khoán - thành viên thị trường trong hệ thống FIMS. Quản lý tài khoản và danh mục NĐT nước ngoài.,"ods_fims_securitiescompany, ods_scms_ctck_thong_tin, ods_thanhtra_dm_cong_ty_ck"
Securities Company Organization Unit,scr_co_ou,Fundamental,SCD4A,,regular,"Đơn vị trực thuộc CTCK: chi nhánh, văn phòng đại diện, phòng giao dịch. Cấu trúc self-join qua parent_org_unit_id.","ods_scms_ctck_chi_nhanh, ods_scms_ctck_vp_dai_dien, ods_scms_ctck_phong_giao_dich"
Securities Company Senior Personnel,scr_co_snr_psn,Fundamental,SCD4A,,regular,"Nhân sự cao cấp của CTCK (Chủ tịch HĐQT, Tổng Giám đốc, Kế toán trưởng...). Ghi nhận chức vụ và thời gian đảm nhận.",ods_scms_ctck_nhan_su_cao_cap
Securities Company Service Registration,scr_co_svc_rgst,Fundamental,SCD4A,,regular,Đăng ký dịch vụ của CTCK tại UBCKNN. Grain: 1 dòng = 1 dịch vụ x 1 CTCK. Ghi nhận loại dịch vụ — số văn bản và ngày đăng ký/kết thúc — trạng thái hiệu lực.,ods_scms_ctck_dich_vu
Securities Company Shareholder,scr_co_shrhlr,Fundamental,SCD4A,,regular,Cổ đông của CTCK - cá nhân hoặc tổ chức. Ghi nhận tỷ lệ sở hữu và số lượng cổ phần.,ods_scms_ctck_co_dong
Securities Company Shareholder Related Party,scr_co_shrhlr_rel_p,Fundamental,SCD4A,,regular,Người có quan hệ gia đình hoặc công tác với cổ đông của CTCK. Ghi nhận loại quan hệ và nơi làm việc.,ods_scms_ctck_cd_moi_quan_he
Securities Company Shareholder Representative,scr_co_shrhlr_rprs,Fundamental,SCD4A,,regular,Người đại diện được ủy quyền bởi cổ đông của CTCK. Ghi nhận chức vụ và số lượng cổ phần đại diện.,ods_scms_ctck_cd_dai_dien
Securities Organization Reference,scr_org_refr,Fundamental,SCD4A,,regular,Tổ chức tham gia thị trường chứng khoán (CTCK/QLQ/NH) được UBCKNN quản lý. Danh mục tổ chức tham chiếu trong hệ thống NHNCK.,ods_nhnck_organizations
Securities Practitioner,scr_prac,Fundamental,SCD4A,,regular,Người hành nghề chứng khoán được UBCKNN cấp phép. Ghi nhận thông tin cá nhân và trạng thái hành nghề. Attribute chi tiết (BirthDate full,"ods_nhnck_professionals, ods_scms_ctck_nguoi_hanh_nghe_ck"
Securities Practitioner Related Party,scr_prac_rel_p,Fundamental,SCD4A,,regular,Quan hệ thân nhân của người hành nghề chứng khoán. Ghi nhận loại quan hệ và thông tin người liên quan.,ods_nhnck_professionalrelationships
Stock Exchange,stk_exg,Fundamental,SCD4A,,regular,"Sở giao dịch chứng khoán - thành viên thị trường trong hệ thống FIMS (HNX, HOSE).",ods_fims_stockexchange
Stock Holder,stk_hldr,Fundamental,SCD4A,,regular,Cổ đông giao dịch — cá nhân hoặc tổ chức nắm giữ cổ phần công ty đại chúng. Grain: cổ đông x công ty. FK to Public Company.,ods_ids_stock_holders
Stock Holder Relationship,stk_hldr_rltnp,Relative,SCD2,,regular,Quan hệ giữa các cổ đông giao dịch — loại quan hệ/thời hạn/trạng thái. FK to Stock Holder x 2.,ods_ids_holder_relationship
Taxpayer Representative,taxpayer_rprs,Fundamental,SCD4A,,regular,Người đại diện hoặc chủ hộ kinh doanh của người nộp thuế. Ghi nhận tên và chức vụ.,ods_dcst_ttkdt_nguoi_dai_dien
Geographic Area,geo,Fundamental,SCD4A,,regular,"Đơn vị địa lý dùng làm FK tham chiếu: quốc gia/quốc tịch (COUNTRY), vùng/miền (REGION), tỉnh/thành phố mới/cũ (PROVINCE/PROVINCE_OLD), quận/huyện cũ (DISTRICT_OLD), phường/xã mới/cũ (WARD/WARD_OLD). Phân biệt bằng geographic_area_type_code. Hỗ trợ song song bộ danh mục pre- và post-sáp nhập hành chính 2025.","ods_fims_national, ods_scms_dm_tinh_thanh, ods_scms_dm_quoc_tich, ods_ecat_ecat_01_country, ods_ecat_ecat_02_region, ods_ecat_ecat_03_provinceold, ods_ecat_ecat_04_province, ods_ecat_ecat_05_districtold, ods_ecat_ecat_06_wardold, ods_ecat_ecat_07_ward"
Involved Party Electronic Address,ip_elc_adr,Fundamental,SCD4A,,shared_entity,Lưu trữ các địa chỉ liên lạc điện tử của Involved Party (điện thoại/fax/email). Mỗi dòng = 1 kênh liên lạc từ 1 nguồn.,"ods_nhnck_professionals, ods_nhnck_organizations, ods_dcst_thong_tin_dk_thue, ods_dcst_ttkdt_nguoi_dai_dien, ods_fms_securities, ods_fms_forbrch, ods_fms_bankmoni, ods_fms_branches, ods_scms_ctck_thong_tin, ods_scms_ctck_chi_nhanh, ods_scms_ctck_nhan_su_cao_cap, ods_fims_bankmoni, ods_fims_branchs, ods_fims_depositorycenter, ods_fims_fundcompany, ods_fims_infodiscrepres, ods_fims_investor, ods_fims_securitiescompany, ods_fims_stockexchange, ods_fims_tlprofiles, ods_scms_ct_kiem_toan, ods_scms_ctck_phong_giao_dich, ods_scms_ctck_vp_dai_dien, ods_thanhtra_dm_can_bo, ods_thanhtra_dm_cong_ty_dc, ods_thanhtra_dm_cong_ty_ck, ods_thanhtra_dm_cong_ty_qlq, ods_thanhtra_dm_doi_tuong_khac, ods_ids_af_profiles, ods_ids_company_detail, ods_ids_stock_holders, ods_ids_af_legal_representative, ods_ids_legal_representative"
Involved Party Postal Address,ip_pst_adr,Fundamental,SCD4A,,shared_entity,Lưu trữ các địa chỉ bưu chính của Involved Party (trụ sở/kinh doanh/thường trú/nơi ở hiện tại). Mỗi dòng = 1 loại địa chỉ từ 1 nguồn.,"ods_nhnck_professionals, ods_nhnck_organizations, ods_dcst_thong_tin_dk_thue, ods_fms_securities, ods_fms_forbrch, ods_fms_bankmoni, ods_fms_agencies, ods_fms_branches, ods_fms_agenciesbra, ods_scms_ctck_thong_tin, ods_scms_ctck_chi_nhanh, ods_scms_ctck_nhan_su_cao_cap, ods_scms_ctck_co_dong, ods_fims_bankmoni, ods_fims_branchs, ods_fims_depositorycenter, ods_fims_fundcompany, ods_fims_infodiscrepres, ods_fims_investor, ods_fims_securitiescompany, ods_fims_stockexchange, ods_fims_tlprofiles, ods_scms_ct_kiem_toan, ods_scms_ctck_phong_giao_dich, ods_scms_ctck_vp_dai_dien, ods_thanhtra_dm_can_bo, ods_thanhtra_dm_cong_ty_dc, ods_thanhtra_dm_cong_ty_ck, ods_thanhtra_dm_cong_ty_qlq, ods_thanhtra_dm_doi_tuong_khac, ods_ids_af_profiles, ods_ids_company_detail, ods_ids_stock_holders"
Corporate Bond Match Log,corp_bond_mtch_log,Fact Append,Fact Append,,regular,Log tick-by-tick từng lần khớp lệnh trái phiếu doanh nghiệp theo thứ tự ConfirmNoCorpBond. Grain: 1 dòng = 1 lần khớp (symbol × ngày × confirm_no). Insert-only.,ods_mdds_corpbondmatch
Fund Management Company Share Transfer,fnd_mgt_co_shr_tfr,Fact Append,Fact Append,,regular,Giao dịch chuyển nhượng cổ phần của công ty quản lý quỹ. Ghi nhận bên chuyển nhượng/nhận nhượng và giá trị giao dịch.,ods_fms_trsferinder
Investment Fund Certificate Transfer,ivsm_fnd_ctf_tfr,Fact Append,Fact Append,,regular,Giao dịch mua/bán chứng chỉ quỹ của nhà đầu tư thành viên. Ghi nhận số lượng và giá giao dịch theo từng quỹ.,ods_fms_transfermbf
Public Company Treasury Stock Activity,pblc_co_trsr_stk_avy,Fact Append,Fact Append,,regular,Giao dịch cổ phiếu quỹ theo năm — số lượng mua/bán và số đợt. FK to Public Company.,ods_ids_company_treasury_stocks
Risk Indicator Value,rsk_ind_val,Fact Append,Fact Append,,regular,Giá trị thực tế của chỉ tiêu rủi ro theo từng kỳ (ngày/tháng/quý/năm). Grain: chỉ tiêu × kỳ. Append-only. FK → Risk Indicator.,ods_qlrr_risk_indicator_value
Risk Indicator Value Change,rsk_ind_val_chg,Fact Append,Fact Append,,regular,Lịch sử từng lần thay đổi giá trị chỉ tiêu (SYNC tự động / UPDATE thủ công). Grain: 1 lần thay đổi. Append-only. FK → Risk Indicator.,ods_qlrr_risk_indicator_value_history
Securities Company Shareholder Transfer,scr_co_shrhlr_tfr,Fact Append,Fact Append,,regular,"Giao dịch chuyển nhượng cổ phần giữa hai cổ đông của CTCK. Ghi nhận bên chuyển/nhận, số lượng và tỷ lệ chuyển nhượng.",ods_scms_ctck_cd_chuyen_nhuong
Securities Practitioner License Application Fee,scr_prac_license_ap_fee,Fact Append,Fact Append,,regular,Phí thực tế phát sinh theo từng hồ sơ đăng ký CCHN. Ghi nhận loại phí và trạng thái thanh toán.,ods_nhnck_applicationfees
Securities Trade,scr_trd,Fact Append,Fact Append,,regular,Giao dịch khớp lệnh chứng khoán thực tế trên sàn HOSE và HNX — ghi nhận giá khớp/khối lượng/giá trị và thông tin bên mua/bán. Mỗi dòng = 1 lần khớp. FK đến Securities Order (x2).,"ods_ordertrade_trade_hose, ods_ordertrade_trade_hnx"
Security Match Log,scr_mtch_log,Fact Append,Fact Append,,regular,Log tick-by-tick từng lần khớp lệnh chứng khoán theo thứ tự sequenceMsg. Grain: 1 dòng = 1 lần khớp (symbol × ngày × sequenceMsg). Insert-only. Chứa chiều giao dịch chủ động (lastColor) và tích lũy KL/GT từ đầu ngày.,ods_mdds_translog
Account Investor Group,ac_ivsr_grp,Fundamental,SCD4A,,regular,Nhóm tài khoản nhà đầu tư do nghiệp vụ giám sát xác định theo tiêu chí quan hệ (Danh tính / IP / MAC / Tiền). Grain: 1 dòng = 1 nhóm.,ods_gsgd_account_group
Account Investor Group Member,ac_ivsr_grp_mbr,Fundamental,SCD4A,,regular,Quan hệ thành viên giữa tài khoản nhà đầu tư và nhóm giám sát. Ghi nhận loại quan hệ và trạng thái. FK Account Investor Group + Investor Trading Account.,ods_gsgd_account_group_member
Calendar Date,cdr_dt,Fact Append,Fact Append,,regular,Ngày dương lịch dense (ETL tự sinh mọi ngày trong phạm vi hệ thống). ECAT_29_HolidayInfo bổ sung cờ ngày nghỉ lễ công cộng (holiday_flag) và tên ngày lễ. PK dạng yyyymmdd.,ods_ecat_ecat_29_holidayinfo
Corporate Bond Trading Snapshot,corp_bond_tdg_snpst,Fact Snapshot,Fact Snapshot,,regular,Snapshot trạng thái giao dịch trái phiếu doanh nghiệp niêm yết HNX tại thời điểm phát sinh thay đổi: giá tham chiếu/trần/sàn/khớp,ods_mdds_corpbondinfor
Currency,ccy,Classification,SCD1,,cv,"Đơn vị tiền tệ theo chuẩn ISO 4217. ECAT là source chuẩn (authoritative). Currency là data domain riêng theo quy tắc #4 — không có surrogate key, BK = currency_code 3 ký tự.",ods_ecat_ecat_11_currency
Index Constituent Snapshot,indx_constituent_snpst,Fact Snapshot,Fact Snapshot,,regular,Snapshot thành phần rổ chỉ số thị trường: mã chứng khoán thuộc rổ nào (IndexCode × Symbol × ngày giao dịch). Có attribute nghiệp vụ: tỷ trọng (Weighted) và ngày vào rổ (AddDate).,ods_mdds_csidxinfor
Market Index Snapshot,mkt_indx_snpst,Fact Snapshot,Fact Snapshot,,regular,Snapshot thông tin chỉ số thị trường chứng khoán (VN30/VNINDEX/HNX30...) tại thời điểm phát sinh: giá trị chỉ số,ods_mdds_idxinfor
Market Snapshot,mkt_snpst,Fact Snapshot,Fact Snapshot,,regular,Snapshot trạng thái tổng hợp toàn sàn giao dịch (HOSE/HNX/UPCOM) tại mỗi thời điểm: điểm chỉ số sàn,ods_mdds_marketinfor
Risk Indicator,rsk_ind,Classification,SCD1,,cv,Danh mục chỉ tiêu tài chính rủi ro — gộp chỉ tiêu hệ thống (risk_indicator) và tự tạo (risk_indicator_custom). Phân biệt bằng indicator_type_code. indicator_category_id nullable (chỉ tiêu tự tạo không có category).,"ods_qlrr_risk_indicator, ods_qlrr_risk_indicator_custom"
Risk Indicator Category,rsk_ind_cgy,Classification,SCD1,,cv,Nhóm phân loại chỉ tiêu tài chính rủi ro theo bộ (trong nước/quốc tế) và nhóm nghiệp vụ (vĩ mô/tiền tệ/thị trường CK). FK nguồn cho Risk Indicator.,ods_qlrr_risk_indicator_category
Securities Watchlist Group,scr_watchlist_grp,Fundamental,SCD4A,,regular,Nhóm chứng khoán do nghiệp vụ giám sát tạo ra (thường hoặc theo ngành). Danh sách mã CK denormalize thành ARRAY.,ods_gsgd_securities_group
Security,scr,Fundamental,SCD4A,,regular,"Danh mục chứng khoán đang/đã lưu hành trên thị trường Việt Nam (cổ phiếu, trái phiếu, chứng chỉ quỹ, chứng quyền...). ECAT là source chuẩn cho Code + Name. Các source khác (GSGD/FIMS/IDS) sẽ mở rộng attribute sau.",ods_ecat_ecat_14_security
Security Trading Snapshot,scr_tdg_snpst,Fact Snapshot,Fact Snapshot,,regular,Snapshot trạng thái giao dịch đa loại chứng khoán (cổ phiếu/CCQ/chứng quyền/phái sinh) tại thời điểm có thay đổi lệnh/khớp lệnh: giá tham chiếu/trần/sàn,ods_mdds_stockinfor
