source_system,source_table,source_column,description,reason,action
TTHC,UserPickerFieldIndex,Id,PK ky thuat noi bo,"ETL chi dung de join, khong luu tren Atomic. Grain Atomic = ContentItem.",Khong map - ETL join key
TTHC,UserPickerFieldIndex,DocumentId,FK noi bo den Document table,Document table ngoai scope.,Khong map
TTHC,UserPickerFieldIndex,ContentItemVersionId,Phien ban ContentItem,Da capture tai ContentItemIndex (entity cha).,Khong map - da capture tai ContentItemIndex
TTHC,UserPickerFieldIndex,ContentPart,Ten part Eform,ETL dung lam mot phan key khi build JSON object. Embedded trong JSON key.,Embedded trong JSON key
TTHC,UserPickerFieldIndex,ContentField,Ten field ky thuat,ETL dung lam key cua JSON object. Embedded la key trong JSON.,Embedded lam key trong JSON object
TTHC,UserPickerFieldIndex,Published,ETL filter condition,ETL filter: Published=1 AND Latest=1. Khong luu.,Khong map - ETL filter
TTHC,UserPickerFieldIndex,Latest,ETL filter condition,ETL filter: Published=1 AND Latest=1. Khong luu.,Khong map - ETL filter
TTHC,UserPickerFieldIndex,SelectedUserId,Ma nguoi dung duoc chon,ETL value cho User Picker Fields JSON. Denormalized - UserIndex ngoai scope.,Embedded lam value trong JSON User Picker Fields
TTHC,TextFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,TextFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,HtmlFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,HtmlFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,MultiTextFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,MultiTextFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,LinkFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,LinkFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,NumericFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,NumericFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,DateFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,DateFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,DateTimeFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,DateTimeFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,TimeFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,TimeFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,BooleanFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,BooleanFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,ContentPickerFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,ContentPickerFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,UserPickerFieldIndex,ContentItemId,Khoa lien ket FieldIndex voi ContentItem,ETL dung lam join key de xac dinh ContentItem cha. Tren Atomic da capture qua FK Securities Offering Application Id (join tu ContentItemIndex.ContentItemId).,Khong map rieng - da capture qua FK Securities Offering Application Id
TTHC,UserPickerFieldIndex,ContentType,Loai Eform (denormalized tu ContentItemIndex),ETL dung lam filter (IN danh sach Eform chao ban + Latest=1 + Published=1). Gia tri da capture qua Content Type Code cua entity cha Securities Offering Application.,Khong map rieng - da capture qua Securities Offering Application.Content Type Code
TTHC,WorkflowTypeIndex,Id,PK ky thuat noi bo,"PK ky thuat, khong luu tren Atomic. WorkflowTypeIndex map vao Classification Value — Scheme TTHC_WORKFLOW_TYPE.","Khong map — bảng đẩy vào Classification Value, không có entity riêng"
TTHC,WorkflowTypeIndex,DocumentId,FK noi bo den Document,Document table ngoai scope.,Khong map
TTHC,WorkflowTypeIndex,WorkflowTypeId,Ma UUID loai workflow,La Classification Code trong scheme TTHC_WORKFLOW_TYPE. Map vao Classification Value.cv_code.,Map vao Classification Value — Classification Code
TTHC,WorkflowTypeIndex,Name,Ten loai workflow,Map vao Classification Value.cl_nm.,Map vao Classification Value — Classification Name
TTHC,WorkflowTypeIndex,IsEnabled,Co kich hoat,Khong co truong tuong ung tren Classification Value chuan. ETL chi load row co IsEnabled=1.,Khong map — ETL filter IsEnabled=1
TTHC,WorkflowTypeIndex,HasStart,Co activity Start,"Thong tin ky thuat Orchard Core, khong co gia tri nghiep vu tren Classification Value.",Khong map — thong tin ky thuat
